Var1	Sample_no	Var2	Species	Freq
5777	1	S8APX1	Sciaridae_cluster155	0
5792	1	S8APX1	Sciaridae_cluster159	0
5807	1	S8APX1	Sciaridae_cluster161	0
5822	1	S8APX1	Sciaridae_cluster164	0
5837	1	S8APX1	Sciaridae_cluster2	54
5852	1	S8APX1	Sciaridae_cluster219	0
5867	1	S8APX1	Sciaridae_cluster23	0
5882	1	S8APX1	Sciaridae_cluster29	0
5897	1	S8APX1	Sciaridae_cluster3	0
5912	1	S8APX1	Sciaridae_cluster30	0
5927	1	S8APX1	Sciaridae_cluster38	0
5942	1	S8APX1	Sciaridae_cluster39	0
5957	1	S8APX1	Sciaridae_cluster4	0
5972	1	S8APX1	Sciaridae_cluster40	0
5987	1	S8APX1	Sciaridae_cluster432	0
6002	1	S8APX1	Sciaridae_cluster45	0
6017	1	S8APX1	Sciaridae_cluster468	0
6032	1	S8APX1	Sciaridae_cluster5	0
6047	1	S8APX1	Sciaridae_cluster6	0
6062	1	S8APX1	Sciaridae_cluster62	0
6077	1	S8APX1	Sciaridae_cluster7	0
6092	1	S8APX1	Sciaridae_cluster72	0
6107	1	S8APX1	Sciaridae_cluster76	0
6122	1	S8APX1	Sciaridae_cluster8	0
6137	1	S8APX1	Sciaridae_cluster80	2
6152	1	S8APX1	Sciaridae_cluster84	0
6167	1	S8APX1	Sciaridae_cluster86	1
6182	1	S8APX1	Sciaridae_cluster87	0
6197	1	S8APX1	Sciaridae_cluster93	3
6212	1	S8APX1	Sciaridae_cluster95	0
6227	1	S8APX1	Sciaridae_cluster97	0
6242	1	S8APX1	Scirtidae_cluster1	0
6257	1	S8APX1	Scirtidae_cluster3	0
6272	1	S8APX1	Scirtidae_cluster4	0
6287	1	S8APX1	Scirtidae_cluster6	1
6302	1	S8APX1	Segestriidae_cluster1	0
6317	1	S8APX1	Sepsidae_cluster2	0
6332	1	S8APX1	Sepsidae_cluster4	0
6347	1	S8APX1	Sepsidae_cluster6	0
6362	1	S8APX1	Sepsidae_cluster7	0
6377	1	S8APX1	Silvanidae_cluster1	0
6392	1	S8APX1	Simuliidae_cluster1	0
6407	1	S8APX1	Sphaeroceridae_cluster1	0
6422	1	S8APX1	Sphaeroceridae_cluster10	0
6437	1	S8APX1	Sphaeroceridae_cluster12	0
6452	1	S8APX1	Sphaeroceridae_cluster25	0
6467	1	S8APX1	Sphaeroceridae_cluster36	0
6482	1	S8APX1	Sphaeroceridae_cluster5	0
6497	1	S8APX1	Sphaeroceridae_cluster63	0
6512	1	S8APX1	Sphaeroceridae_cluster8	0
6527	1	S8APX1	Staphylinidae_cluster210	0
6542	1	S8APX1	Staphylinidae_cluster22	0
6557	1	S8APX1	Staphylinidae_cluster25	0
6572	1	S8APX1	Staphylinidae_cluster29	0
6587	1	S8APX1	Staphylinidae_cluster4	0
6602	1	S8APX1	Staphylinidae_cluster7	0
6617	1	S8APX1	Staphylinidae_cluster9	0
6632	1	S8APX1	Staphylinidae_cluster95	0
6647	1	S8APX1	Tachinidae_cluster107	1
6662	1	S8APX1	Tachinidae_cluster14	3
6677	1	S8APX1	Tachinidae_cluster19	1
6692	1	S8APX1	Tachinidae_cluster2	0
6707	1	S8APX1	Tachinidae_cluster29	0
6722	1	S8APX1	Tachinidae_cluster5	0
6737	1	S8APX1	Tachinidae_cluster6	0
6752	1	S8APX1	Tachinidae_cluster8	0
6767	1	S8APX1	Tachinidae_cluster81	0
6782	1	S8APX1	Tenthredinidae_cluster1	0
6797	1	S8APX1	Tenthredinidae_cluster63	0
