cluster	S8APX1_L	SLWUQ2_L	S5MEZA_L	SY34ZS_L	STHFJP_L	SKYQAL_L	SIRUBH_L	SCNXZK_L	SUXEKB_L	SQVR9H_L	SIUQ3G_L	SG3CB2_L	SBWPUY_L	SC1YIM_L	SACBBR_L	BLANK_L	S8APX1_H	SLWUQ2_H	S5MEZA_H	SY34ZS_H	STHFJP_H	SKYQAL_H	SIRUBH_H	SCNXZK_H	SUXEKB_H	SQVR9H_H	SIUQ3G_H	SG3CB2_H	SBWPUY_H	SC1YIM_H	SACBBR_H	POS	NEG_PCR	NEG
Sciaridae_cluster72	0	126	0	80	0	707	0	0	0	0	0	0	0	0	0	0	0	597	0	38	0	1140	0	0	0	0	0	0	0	0	0	0	0	0
Psychodidae_cluster3	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0
Trichoceridae_cluster2	1145	129	0	0	1741	0	0	0	0	0	0	0	0	0	659	0	3954	499	0	0	6821	0	0	0	0	0	0	0	0	0	2945	0	0	0
Ichneumonidae_cluster656	0	13	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	281	0	1383	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phoridae_cluster17	278	26	782	659	1936	1230	0	80	0	0	0	0	750	0	0	0	793	56	584	285	993	718	0	164	0	0	0	0	129	0	0	247	0	0
Scirtidae_cluster1	0	349	0	0	0	0	814	0	0	0	0	0	0	0	0	0	0	1599	0	0	0	0	2438	0	0	0	0	0	0	0	0	0	0	0
Acaridae_cluster6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cecidomyiidae_cluster2	0	209	0	0	0	16003	0	1810	0	0	0	0	0	0	0	0	0	106	0	0	0	3868	0	451	0	0	0	0	0	0	0	2287	0	0
Entomobryidae_cluster10	0	492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Staphylinidae_cluster22	0	5	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	956	0	0	0	0	0	0	0	0	0	679	0	0	0	0	0	0
Chironomidae_cluster24	28	0	42851	29647	25656	3624	0	3789	8	0	0	0	1525	1469	2457	0	10	0	2956	1482	1669	1020	0	1204	0	0	0	0	28	1763	9026	16	0	0
Muscidae_cluster2	0	0	8242	0	20414	35898	0	0	0	0	0	0	0	0	0	0	0	0	26773	0	9787	28350	0	0	0	0	0	0	0	0	0	0	0	0
Anthomyiidae_cluster32	0	0	19603	106228	22843	15751	0	0	0	0	0	0	0	0	0	0	0	0	1682	3536	1830	4237	0	0	0	0	0	0	0	0	0	43	0	0
Anthomyiidae_cluster26	0	0	18428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3576	0	0	0	0	0	0	0	0	0	0	0	0	254	0	0
Lypusidae_cluster2	0	0	11900	11074	10656	0	0	0	0	0	0	0	0	0	0	0	0	0	5147	1785	922	0	0	0	0	0	0	0	0	0	0	0	0	0
Muscidae_cluster73	0	0	600	0	775	0	0	0	0	0	0	0	0	0	0	0	0	0	9115	0	3573	0	0	0	0	0	0	0	0	0	0	0	0	0
Polleniidae_cluster7	0	0	459	0	293	0	0	0	0	0	0	0	0	0	0	0	0	0	5084	0	1641	0	0	0	0	0	0	0	0	0	0	0	0	0
Sciaridae_cluster23	0	0	3533	1241	0	0	0	1080	1287	0	0	2720	0	0	0	0	0	0	2924	1504	0	0	0	1711	907	0	0	2255	0	0	0	0	0	0
Cecidomyiidae_cluster32	0	0	11830	3486	0	0	0	236	0	0	0	0	0	0	0	0	0	0	2469	507	0	0	0	164	0	0	0	0	0	0	0	0	0	0
Sciaridae_cluster40	0	0	5416	5651	133	85	0	3076	103	0	0	214	0	0	0	0	0	0	866	1885	146	61	0	2173	107	0	0	500	0	0	0	0	0	0
Sciaridae_cluster38	0	0	1493	934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gracillariidae_cluster3	0	0	1868	4766	0	1793	0	12223	0	0	0	0	0	0	0	0	0	0	647	1379	0	2372	0	3724	0	0	0	0	0	0	0	94	0	0
Muscidae_cluster33	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Elachistidae_cluster1	0	0	3065	27192	0	10089	0	17398	0	0	0	0	0	0	0	0	0	0	265	3309	0	2523	0	2843	0	0	0	0	0	0	0	0	0	0
Mycetophilidae_cluster11	66	0	6102	4543	1512	1147	0	1237	2501	33322	551	3838	7567	0	0	0	2752	22	7240	4635	1647	5999	0	6198	5272	85129	10241	8806	23636	0	0	0	0	0
Mycetophilidae_cluster27	164	0	3125	5440	953	915	0	494	0	0	0	0	0	0	0	0	6132	0	3591	4380	627	3988	0	3338	0	0	0	0	0	0	0	50	0	0
Phasianidae_cluster1	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Muscidae_cluster122	0	0	155	576	290	0	0	0	0	0	0	0	0	88	0	0	0	0	2088	1024	2078	0	0	0	0	0	0	0	0	2697	0	0	0	0
Sepsidae_cluster2	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	650	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
Chironomidae_cluster25	0	0	1023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
